NO_OF_SAMPLES	24000
FREQUENCY	1200
TIME_STAMP	2020-01-28, 14:27:43.885	5208.83582520
FIRST_SAMPLE	1
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti Gen 5
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Amti Optima BMS400600HF-2K 11053M
FORCE_PLATE_CORNER_POSX_POSY_X	353.011101
FORCE_PLATE_CORNER_POSX_POSY_Y	1295.030594
FORCE_PLATE_CORNER_POSX_POSY_Z	-2.601500
FORCE_PLATE_CORNER_NEGX_POSY_X	747.085989
FORCE_PLATE_CORNER_NEGX_POSY_Y	1294.596434
FORCE_PLATE_CORNER_NEGX_POSY_Z	-2.692300
FORCE_PLATE_CORNER_NEGX_NEGY_X	746.431708
FORCE_PLATE_CORNER_NEGX_NEGY_Y	700.785577
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-2.136100
FORCE_PLATE_CORNER_POSX_NEGY_X	352.357000
FORCE_PLATE_CORNER_POSX_NEGY_Y	701.219738
FORCE_PLATE_CORNER_POSX_NEGY_Z	-2.045300
FORCE_PLATE_OFFSET_X	0.000000
FORCE_PLATE_OFFSET_Y	0.000000
FORCE_PLATE_OFFSET_Z	0.000000
FORCE_PLATE_LENGTH	599.948000
FORCE_PLATE_WIDTH	400.050000
SAMPLE	TIME	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
91	0.07500	-3.417603	-4.476318	-11.902832	-2.453247	-2.149658	-1.506287	-180.600566	206.106166	0.000000	
92	0.07583	-3.416382	-4.565918	-13.716309	-2.229980	-2.043701	-1.617737	-148.997900	162.578762	0.000000	
93	0.07667	-3.149902	-4.568359	-11.541992	-2.582153	-2.104980	-1.618164	-182.375836	223.718166	0.000000	
94	0.07750	-2.966797	-4.118896	-12.999023	-2.555542	-2.097656	-1.468811	-161.370295	196.594921	0.000000	
95	0.07833	-3.413696	-4.025879	-12.995117	-2.514771	-2.044312	-1.487427	-157.313820	193.516570	0.000000	
96	0.07917	-3.059692	-4.658691	-12.994141	-2.491211	-2.346069	-1.561951	-180.548249	191.718022	0.000000	
97	0.08000	-2.969360	-4.209473	-10.821289	-2.506226	-1.958679	-1.581116	-181.002391	231.601390	0.000000	
98	0.08083	-2.967651	-4.478760	-14.447754	-2.543213	-2.131958	-1.542969	-147.563284	176.028254	0.000000	
99	0.08167	-3.057861	-4.388428	-12.996094	-2.368652	-2.135986	-1.543335	-164.356026	182.258792	0.000000	
100	0.08250	-3.683594	-4.293945	-13.353027	-2.549438	-2.158813	-1.468750	-161.672213	190.925879	0.000000	
101	0.08333	-3.415039	-4.295898	-13.355469	-2.283936	-2.289063	-1.617798	-171.395145	171.011261	0.000000	
102	0.08417	-3.325317	-4.476318	-14.806641	-2.587646	-2.004639	-1.561584	-135.387812	174.762564	0.000000	
